"ranking","myouji","population"
"1","佐藤","1893000"
"2","鈴木","1802000"
"3","高橋","1424000"
"4","田中","1349000"
"5","伊藤","1084000"
"6","渡辺","1073000"
"7","山本","1065000"
"8","中村","1056000"
"9","小林","1036000"
"10","加藤","892000"
"11","吉田","838000"
"12","山田","822000"
"13","佐々木","686000"
"14","山口","649000"
"15","松本","634000"
"16","井上","619000"
"17","木村","581000"
"18","林","551000"
"19","斎藤","545000"
"20","清水","536000"
"21","山崎","487000"
"22","森","470000"
"23","池田","454000"
"24","橋本","452000"
"25","阿部","448000"
"26","石川","429000"
"27","山下","425000"
"28","中島","404000"
"29","小川","398000"
"30","石井","397000"
"31","前田","387000"
"32","岡田","383000"
"33","長谷川","380000"
"34","藤田","379000"
"35","後藤","375000"
"36","近藤","372000"
"37","村上","360000"
"38","遠藤","336000"
"39","青木","330000"
"40","坂本","330000"
"41","斉藤","327000"
"42","福田","315000"
"43","太田","313000"
"44","西村","312000"
"45","藤井","312000"
"46","藤原","301000"
"47","岡本","300000"
"48","三浦","299000"
"49","中野","297000"
"50","金子","296000"
"51","中川","294000"
"52","原田","293000"
"53","松田","292000"
"54","竹内","288000"
"55","小野","283000"
"56","田村","282000"
"57","中山","271000"
"58","和田","269000"
"59","石田","268000"
"60","森田","262000"
"61","上田","251000"
"62","原","248000"
"63","内田","245000"
"64","柴田","244000"
"65","酒井","242000"
"66","宮崎","240000"
"67","横山","238000"
"68","高木","235000"
"69","安藤","232000"
"70","宮本","231000"
"71","大野","222000"
"72","工藤","219000"
"73","谷口","218000"
"74","小島","217000"
"75","今井","214000"
"76","高田","212000"
"77","丸山","211000"
"78","増田","210000"
"79","杉山","208000"
"80","村田","207000"
"81","藤本","206000"
"82","大塚","206000"
"83","小山","205000"
"84","平野","204000"
"85","新井","203000"
"86","河野","203000"
"87","上野","202000"
"88","武田","201000"
"89","野口","199000"
"90","松井","196000"
"91","千葉","196000"
"92","菅原","194000"
"93","岩崎","193000"
"94","久保","190000"
"95","木下","189000"
"96","佐野","187000"
"97","野村","187000"
"98","松尾","186000"
"99","菊地","183000"
"100","杉本","183000"
"101","市川","182000"
"102","大西","179000"
"103","古川","179000"
"104","島田","176000"
"105","水野","175000"
"106","桜井","173000"
"107","渡部","173000"
"108","高野","172000"
"109","吉川","171000"
"110","山内","166000"
"111","西田","164000"
"112","菊池","163000"
"113","西川","162000"
"114","小松","162000"
"115","飯田","161000"
"116","北村","160000"
"117","安田","159000"
"118","五十嵐","157000"
"119","川口","157000"
"120","平田","155000"
"121","中田","155000"
"122","関","154000"
"123","久保田","153000"
"124","東","153000"
"125","服部","151000"
"126","川崎","151000"
"127","岩田","150000"
"128","土屋","150000"
"129","福島","150000"
"130","本田","150000"
"131","辻","149000"
"132","樋口","149000"
"133","田口","147000"
"134","永井","147000"
"135","秋山","147000"
"136","山中","147000"
"137","中西","147000"
"138","吉村","146000"
"139","川上","145000"
"140","浜田","143000"
"141","松岡","143000"
"142","石原","143000"
"143","大橋","142000"
"144","馬場","142000"
"145","森本","141000"
"146","矢野","140000"
"147","松下","139000"
"148","浅野","138000"
"149","星野","138000"
"150","吉岡","138000"
"151","大久保","137000"
"152","小池","137000"
"153","野田","136000"
"154","荒木","133000"
"155","熊谷","133000"
"156","松浦","133000"
"157","大谷","132000"
"158","内藤","131000"
"159","黒田","129000"
"160","尾崎","128000"
"161","川村","127000"
"162","望月","127000"
"163","永田","127000"
"164","松村","126000"
"165","堀","126000"
"166","田辺","125000"
"167","菅野","125000"
"168","平井","125000"
"169","西山","124000"
"170","大島","124000"
"171","早川","124000"
"172","荒井","124000"
"173","広瀬","123000"
"174","栗原","122000"
"175","横田","119000"
"176","石橋","118000"
"177","岩本","118000"
"178","片山","118000"
"179","萩原","117000"
"180","宮田","115000"
"181","大石","115000"
"182","関口","115000"
"183","本間","113000"
"184","高山","113000"
"185","岡崎","112000"
"186","須藤","112000"
"187","小田","112000"
"188","鎌田","112000"
"189","吉野","112000"
"190","伊東","111000"
"191","篠原","110000"
"192","小西","109000"
"193","上原","109000"
"194","松原","109000"
"195","福井","109000"
"196","成田","108000"
"197","古賀","107000"
"198","南","107000"
"199","大森","107000"
"200","奥村","106000"
"201","内山","106000"
"202","小泉","106000"
"203","沢田","106000"
"204","桑原","105000"
"205","三宅","105000"
"206","片岡","105000"
"207","岡","104000"
"208","川島","104000"
"209","奥田","104000"
"210","富田","104000"
"211","八木","103000"
"212","松永","103000"
"213","杉浦","103000"
"214","北川","103000"
"215","小沢","102000"
"216","河合","101000"
"217","平山","101000"
"218","牧野","101000"
"219","白石","100000"
"220","関根","99800"
"221","今村","99300"
"222","寺田","98800"
"223","青山","98200"
"224","中尾","97900"
"225","上村","97000"
"226","小倉","96600"
"227","小野寺","96600"
"228","渋谷","96200"
"229","坂口","95800"
"230","岡村","95700"
"231","大山","95500"
"232","足立","95500"
"233","多田","94500"
"234","天野","94300"
"235","佐久間","92700"
"236","豊田","92300"
"237","西","92000"
"238","角田","91900"
"239","村山","91900"
"240","根本","91700"
"241","田島","91600"
"242","飯塚","91200"
"243","竹田","91200"
"244","宮下","91000"
"245","武藤","91000"
"246","児玉","90500"
"247","白井","90500"
"248","坂田","90100"
"249","坂井","89900"
"250","塚本","89800"
"251","水谷","89600"
"252","榎本","88800"
"253","神谷","88700"
"254","小原","87800"
"255","小笠原","87600"
"256","森下","87100"
"257","齋藤","86700"
"258","中井","86700"
"259","浅井","86600"
"260","植田","86500"
"261","神田","86500"
"262","岡部","86400"
"263","河村","85800"
"264","前川","85200"
"265","宮川","84900"
"266","稲垣","84400"
"267","大川","83900"
"268","長田","82900"
"269","松崎","82500"
"270","若林","82300"
"271","谷","81900"
"272","安部","80900"
"273","飯島","80800"
"274","大沢","80700"
"275","及川","80400"
"276","堀内","80300"
"277","石塚","79900"
"278","山根","79400"
"279","田代","79200"
"280","中嶋","79100"
"281","中谷","79000"
"282","江口","78800"
"283","岸本","77900"
"284","西尾","77700"
"285","本多","77300"
"286","森山","77300"
"287","荒川","77200"
"288","細川","77000"
"289","今野","76300"
"290","金井","76000"
"291","戸田","75700"
"292","岡野","75700"
"293","津田","75500"
"294","安達","75400"
"295","森川","75400"
"296","土井","75300"
"297","稲葉","75200"
"298","畠山","75100"
"299","村松","74900"
"300","星","74800"
"301","三上","74600"
"302","落合","74300"
"303","町田","73400"
"304","長尾","73300"
"305","中原","72900"
"306","岩井","72700"
"307","堤","72400"
"308","野崎","71000"
"309","米田","70800"
"310","中沢","70600"
"311","金田","70300"
"312","松山","70200"
"313","三好","69800"
"314","堀田","69700"
"315","佐伯","69100"
"316","西野","69100"
"317","杉田","69100"
"318","山岸","68700"
"319","西岡","68300"
"320","黒川","67400"
"321","甲斐","67300"
"322","泉","67200"
"323","大竹","66300"
"324","黒木","66100"
"325","笠原","65700"
"326","徳永","65700"
"327","川田","65100"
"328","古田","65000"
"329","須田","65000"
"330","堀江","65000"
"331","山川","64900"
"332","岸","64800"
"333","大木","64800"
"334","新田","64800"
"335","三木","64500"
"336","梅田","64400"
"337","野中","64100"
"338","榊原","63600"
"339","村井","63200"
"340","土田","62700"
"341","奥山","62200"
"342","滝沢","62100"
"343","大村","62000"
"344","川端","61600"
"345","大城","61100"
"346","梶原","60700"
"347","井口","60700"
"348","金城","60400"
"349","大場","59500"
"350","金沢","58300"
"351","吉原","58300"
"352","安井","57900"
"353","宮内","57900"
"354","長島","57800"
"355","宮城","57700"
"356","日高","57300"
"357","向井","57100"
"358","庄司","57000"
"359","西本","56900"
"360","大内","56900"
"361","松島","56700"
"362","茂木","56600"
"363","下田","56600"
"364","竹中","56500"
"365","荻野","56300"
"366","奥野","56300"
"367","比嘉","56300"
"368","藤川","56100"
"369","石黒","56100"
"370","塚田","56000"
"371","広田","56000"
"372","福本","55900"
"373","嶋田","55700"
"374","北野","55600"
"375","川原","55600"
"376","栗田","55400"
"377","谷川","55200"
"378","小谷","55100"
"379","宇野","55100"
"380","吉本","55000"
"381","藤野","54800"
"382","藤岡","54800"
"383","竹本","54700"
"384","竹下","54600"
"385","丹羽","54600"
"386","緒方","54300"
"387","藤村","54200"
"388","青柳","53800"
"389","古谷","53800"
"390","平川","53800"
"391","亀井","53700"
"392","高島","53500"
"393","三輪","53500"
"394","藤沢","53400"
"395","窪田","52900"
"396","宮原","52500"
"397","高井","52200"
"398","下村","52000"
"399","篠崎","51900"
"400","山村","51600"
"401","川本","51500"
"402","高瀬","51500"
"403","出口","51300"
"404","柳沢","51200"
"405","根岸","51100"
"406","横井","50800"
"407","小森","50700"
"408","長野","50500"
"409","竹村","50400"
"410","吉沢","50400"
"411","小澤","50200"
"412","武井","50200"
"413","宮沢","49700"
"414","福岡","49300"
"415","平松","49300"
"416","田原","48900"
"417","溝口","48900"
"418","稲田","48800"
"419","臼井","48700"
"420","志村","48600"
"421","黒沢","48600"
"422","筒井","48200"
"423","浅田","48100"
"424","林田","48000"
"425","大原","47800"
"426","大平","47800"
"427","柳田","47800"
"428","永野","47700"
"429","福永","47500"
"430","冨田","47400"
"431","瀬戸","47300"
"432","北原","47100"
"433","入江","47100"
"434","富永","47000"
"435","手塚","46900"
"436","篠田","46800"
"437","湯浅","46700"
"438","鶴田","46700"
"439","小出","46400"
"440","山岡","46300"
"441","高松","46300"
"442","長岡","46200"
"443","沼田","46100"
"444","大田","46100"
"445","矢島","46000"
"446","堀口","45900"
"447","大槻","45300"
"448","岩瀬","45200"
"449","澤田","45200"
"450","石崎","45200"
"451","石山","45100"
"452","堀川","44900"
"453","相馬","44900"
"454","二宮","44900"
"455","池上","44800"
"456","園田","44700"
"457","平岡","44500"
"458","花田","44300"
"459","柏木","44300"
"460","杉原","43900"
"461","川野","43900"
"462","島崎","43800"
"463","加納","43700"
"464","越智","43700"
"465","村瀬","43500"
"466","長沢","43300"
"467","片桐","43300"
"468","倉田","43200"
"469","内海","43100"
"470","福原","43100"
"471","河原","43000"
"472","西原","43000"
"473","松野","42900"
"474","野沢","42900"
"475","笠井","42900"
"476","秋元","42500"
"477","田畑","42400"
"478","小坂","42300"
"479","谷本","42200"
"480","千田","42100"
"481","日野","42000"
"482","吉井","41600"
"483","渡邊","41600"
"484","深沢","41500"
"485","北島","41500"
"486","西沢","41400"
"487","徳田","41200"
"488","相沢","41000"
"489","新谷","40900"
"490","原口","40800"
"491","田上","40800"
"492","小柳","40800"
"493","菅","40600"
"494","米山","40500"
"495","森岡","40500"
"496","畑中","40300"
"497","今泉","40100"
"498","浜野","40000"
"499","細谷","39900"
"500","芳賀","39600"
